LM_ID	COMMON_NAME	SYSTEMATIC_NAME	FORMULA	MASS	CATEGORY	MAIN_CLASS	SUB_CLASS
LMST02020025	Fluoxymesterone	9alpha-fluoro-11beta,17beta-dihydroxy-17-methylandrost-4-en-3-one	C20H29FO3	336.21	Sterol Lipids [ST]	Steroids [ST02]	C19 steroids (androgens) and derivatives [ST0202]
LMST02020026	Formyldienolone	11alpha,17beta-dihydroxy-17-methyl-3-oxoandrosta-1,4-diene-2-carboxaldehyde	C21H28O4	344.20	Sterol Lipids [ST]	Steroids [ST02]	C19 steroids (androgens) and derivatives [ST0202]
LMST02020027	Mestanolone	17beta-hydroxy-17-methyl-androstan-3-one	C20H32O2	304.24	Sterol Lipids [ST]	Steroids [ST02]	C19 steroids (androgens) and derivatives [ST0202]
MPR03010008	Decaprenol	3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38-decaen-1-ol	C50H82O	698.64	Prenol Lipids [PR]	Polyprenols [PR03]	Bactoprenols [PR0301]
LMPR03020001	undecaprenyl phosphate	3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E,42-undecaen-1-yl phosphate	C55H91O4P	846.67	Prenol Lipids [PR]	Polyprenols [PR03]	Bactoprenol monophosphates [PR0302]
LMPR03020002	Undecaprenyl phosphate mannose	Alpha-mannosyl-undecaprenyl phosphate	C61H101O9P	1008.72	Prenol Lipids [PR]	Polyprenols [PR03]	Bactoprenol monophosphates [PR0302]
LMPR03020004	Dodecaprenyl phosphate-galacturonic acid	-	C66H107O10P	1090.76	Prenol Lipids [PR]	Polyprenols [PR03]	Bactoprenol monophosphates [PR0302]
MPK12050384	Irisolidone	5,7-Dihydroxy-6,4'-dimethoxyisoflavone	C17H14O6	314.08	Polyketides [PK]	Flavonoids [PK12]	Isoflavonoids [PK1205]
LMPK12050385	Tectorigenin	5,7,4'-Trihydroxy-6-methoxyisoflavone	C16H12O6	300.06	Polyketides [PK]	Flavonoids [PK12]	Isoflavonoids [PK1205]
LMPK12050386	6-Hydroxygenistein	-	C15H10O6	286.05	Polyketides [PK]	Flavonoids [PK12]	Isoflavonoids [PK1205]
LMPK12050387	Irisolone	4'-Hydroxy-5-methoxy-6,7-methylenedioxyisoflavone	C17H12O6	312.06	Polyketides [PK]	Flavonoids [PK12]	Isoflavonoids [PK1205]
LMPK12050388	7-O-Methyltectorigenin	5,4'-Dihydroxy-6,7-dimethoxyisoflavone	C17H14O6	314.08	Polyketides [PK]	Flavonoids [PK12]	Isoflavonoids [PK1205]
